Phase,Disability Type,Hazard,Action / Need,Article Title,URL
Pre-Disaster,All Disabilities,All Hazards,Emergency Plan Development,Tips for First Responders – Disability-Specific Rescue Techniques (Georgia Governor's Council),https://unmhealth.org/services/development-disabilities/programs/other-disability-resources/first-responder-tips.html
Pre-Disaster,All Disabilities,All Hazards,Register for Assistance,People with Disabilities – Ready.gov Pre-Disaster Preparation Guide,https://ready.gov/disability
Pre-Disaster,All Disabilities,All Hazards,Emergency Kit & Plan,FEMA: Disaster Preparedness for People with Disabilities – Same But Different,https://www.fema.gov/press-release/20250121/disaster-preparedness-people-disabilities-same-different
Pre-Disaster,All Disabilities,All Hazards,First Responder Training,Educating First Responders to Provide Emergency Services to Individuals with Disabilities (PMC),https://pmc.ncbi.nlm.nih.gov/articles/PMC4437503/
Pre-Disaster,All Disabilities,All Hazards,Buddy System & Evacuation Planning,Emergency Evacuation Guidelines for Persons with Disabilities (Spokane CCS),https://shared.spokane.edu/ccsglobal/media/Global/PDFs/District/Procedures/EMERGENCY-EVACUATION-GUIDELINES-DISABILITIES.pdf
Pre-Disaster,Autism,All Hazards,Family Emergency Plan,"Autism Speaks: Natural Disaster Resources – Before, During and After",https://www.autismspeaks.org/natural-disaster-resources
Pre-Disaster,Autism,All Hazards,Sensory Kit & Communication Cards,FEMA: 30 Ways FEMA Supports People with Disabilities – Sensory Kits in Disasters,https://www.preventionweb.net/news/30-ways-fema-supports-emergency-preparedness-response-and-recovery-people-disabilities
Pre-Disaster,Autism,All Hazards,First Responder Trauma-Informed Training,CHLA: Training First Responders to Help Individuals with Disabilities During Natural Disasters,https://www.chla.org/blog/serving-community/chla-train-first-responders-helping-individuals-disabilities-during-natural
Pre-Disaster,Intellectual Disability,All Hazards,Emergency Coping Skills Assessment,Factors Affecting Disaster Coping Skills in People with Intellectual Disabilities (PMC),https://pmc.ncbi.nlm.nih.gov/articles/PMC10741091/
Pre-Disaster,Intellectual Disability,All Hazards,Simple Emergency Instruction Cards,"Emergency Preparedness for People with Intellectual, Developmental or Cognitive Disabilities (NARIC)",https://naricspotlight.com/2019/09/30/emergency-preparedness-and-people-with-intellectual-developmental-or-cognitive-disabilities/
Pre-Disaster,Developmental Delay,All Hazards,Cognitive Emergency Instructions,FEMA: Key Earthquake Safety Tips for People with Developmental/Cognitive Disabilities,https://www.fema.gov/fact-sheet/key-earthquake-safety-tips-people-disabilities
Pre-Disaster,Global Developmental Delay,All Hazards,Caregiver Backup Plan,Ready.gov: People with Disabilities – Cognitive and Developmental Disabilities Section,https://ready.gov/disability
